# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.103           	4.02543765e+00	-5.79598982e-16	-8.82481472e-03	2.82394071e-04	3.26388682e-03	1.28814005e-01	2.01300122e+00	2.01243643e+00	1.28814005e-01	-1.28814005e-01	-1.14852054e-03	-7.67629418e-03
0.104           	4.03486229e+00	-5.84527142e-16	-8.47981381e-03	2.71354042e-04	3.06513669e-03	1.29115593e-01	2.01770250e+00	2.01715979e+00	1.29115593e-01	-1.29115593e-01	-1.17477022e-03	-7.30504359e-03
0.105           	4.04584267e+00	-5.89596701e-16	-8.49490311e-03	2.71836899e-04	3.04632134e-03	1.29466966e-01	2.02319317e+00	2.02264950e+00	1.29466966e-01	-1.29466966e-01	-1.20113021e-03	-7.29377289e-03
0.106           	4.05618462e+00	-5.94478995e-16	-9.02383803e-03	2.88762817e-04	3.28447933e-03	1.29797908e-01	2.02838107e+00	2.02780355e+00	1.29797908e-01	-1.29797908e-01	-1.22743969e-03	-7.79639835e-03
0.107           	4.06580298e+00	-5.99219122e-16	-9.25922512e-03	2.96295204e-04	3.37585802e-03	1.30105695e-01	2.03319779e+00	2.03260520e+00	1.30105695e-01	-1.30105695e-01	-1.25375454e-03	-8.00547058e-03
0.108           	4.07649952e+00	-6.04240881e-16	-9.16091478e-03	2.93149273e-04	3.30036482e-03	1.30447985e-01	2.03854291e+00	2.03795661e+00	1.30447985e-01	-1.30447985e-01	-1.28009257e-03	-7.88082221e-03
0.109           	4.08738135e+00	-6.09231603e-16	-9.09851301e-03	2.91152416e-04	3.24293496e-03	1.30796203e-01	2.04398183e+00	2.04339952e+00	1.30796203e-01	-1.30796203e-01	-1.30632155e-03	-7.79219146e-03
0.11            	4.09873146e+00	-6.14248074e-16	-8.67498127e-03	2.77599401e-04	3.00549827e-03	1.31159407e-01	2.04964333e+00	2.04908813e+00	1.31159407e-01	-1.31159407e-01	-1.33199236e-03	-7.34298891e-03
0.111           	4.10729565e+00	-6.18891034e-16	-9.28589947e-03	2.97148783e-04	3.28469817e-03	1.31433461e-01	2.05394497e+00	2.05335067e+00	1.31433461e-01	-1.31433461e-01	-1.35825156e-03	-7.92764791e-03
0.112           	4.11734716e+00	-6.23854543e-16	-1.04664661e-02	3.34926914e-04	3.84781237e-03	1.31755109e-01	2.05900851e+00	2.05833865e+00	1.31755109e-01	-1.31755109e-01	-1.38542066e-03	-9.08104540e-03
