# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0175          	2.73817497e+00	6.67289147e-16	-4.00591164e-03	-1.04911357e-16	6.99346102e-04	-1.86400294e-17	1.36908748e+00	1.36908748e+00	3.15004544e-16	3.52284603e-16	-1.30360972e-03	-2.70230192e-03
0.018           	2.70873153e+00	6.55977620e-16	-3.95261230e-03	-1.01207600e-16	6.50837367e-04	-1.72833169e-17	1.35436577e+00	1.35436577e+00	3.10705493e-16	3.45272127e-16	-1.32546878e-03	-2.62714352e-03
0.0185          	2.68104732e+00	6.44873266e-16	-3.79655478e-03	-9.75772698e-17	6.06588324e-04	-1.60184896e-17	1.34052366e+00	1.34052366e+00	3.06418143e-16	3.38455122e-16	-1.29168907e-03	-2.50486571e-03
0.019           	2.65493664e+00	6.34038425e-16	-3.66861648e-03	-9.40532066e-17	5.65895871e-04	-1.48220341e-17	1.32746832e+00	1.32746832e+00	3.02197179e-16	3.31841247e-16	-1.26841237e-03	-2.40020411e-03
0.0195          	2.63022505e+00	6.23479170e-16	-3.59283466e-03	-9.06459736e-17	5.28161852e-04	-1.37004595e-17	1.31511253e+00	1.31511253e+00	2.98039125e-16	3.25440044e-16	-1.26825548e-03	-2.32457918e-03
0.02            	2.60682473e+00	6.13296769e-16	-3.81533756e-03	-8.73718073e-17	4.92472239e-04	-1.26188856e-17	1.30341237e+00	1.30341237e+00	2.94029499e-16	3.19267270e-16	-1.41519654e-03	-2.40014102e-03
0.0205          	2.58470673e+00	6.03409440e-16	-4.03614394e-03	-8.41978572e-17	4.58845629e-04	-1.15851405e-17	1.29235337e+00	1.29235337e+00	2.90119579e-16	3.13289860e-16	-1.55922634e-03	-2.47691760e-03
0.021           	2.56374623e+00	5.93697804e-16	-3.94748271e-03	-8.10916432e-17	4.27656072e-04	-1.06130157e-17	1.28187312e+00	1.28187312e+00	2.86235886e-16	3.07461918e-16	-1.54608528e-03	-2.40139743e-03
0.0215          	2.54393273e+00	5.84211679e-16	-3.85471358e-03	-7.80607546e-17	3.98626632e-04	-9.68886187e-18	1.27196636e+00	1.27196636e+00	2.82416978e-16	3.01794701e-16	-1.52873016e-03	-2.32598342e-03
0.022           	2.52508025e+00	5.75039123e-16	-3.84207842e-03	-7.51604055e-17	3.71506361e-04	-8.80342496e-18	1.26254013e+00	1.26254013e+00	2.78716136e-16	2.96322986e-16	-1.54953285e-03	-2.29254557e-03
