# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e-01
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0255          	4.33371562e+00	5.22674857e-16	-2.30690022e-03	-2.33180825e-16	9.63282160e-05	8.54288117e-17	2.16685781e+00	2.16685781e+00	3.46766240e-16	1.75908617e-16	-1.05712189e-03	-1.24977832e-03
0.026           	4.30073111e+00	5.13908149e-16	-2.29582941e-03	-2.28723980e-16	8.96152569e-05	8.49631104e-17	2.15036556e+00	2.15036556e+00	3.41917185e-16	1.71990964e-16	-1.05829945e-03	-1.23752996e-03
0.0265          	4.26884701e+00	5.05430077e-16	-2.28603197e-03	-2.24416854e-16	8.32561247e-05	8.45098358e-17	2.13442351e+00	2.13442351e+00	3.37224874e-16	1.68205203e-16	-1.05975986e-03	-1.22627211e-03
0.027           	4.23801201e+00	4.97228588e-16	-2.27527595e-03	-2.20253132e-16	7.72252938e-05	8.40687494e-17	2.11900601e+00	2.11900601e+00	3.32683043e-16	1.64545545e-16	-1.06041268e-03	-1.21486327e-03
0.0275          	4.20817491e+00	4.89288865e-16	-2.26658660e-03	-2.16225323e-16	7.14942882e-05	8.36390521e-17	2.10408745e+00	2.10408745e+00	3.28283485e-16	1.61005381e-16	-1.06179901e-03	-1.20478759e-03
0.028           	4.17846592e+00	4.81682662e-16	-2.24827413e-03	-2.12314885e-16	6.58928344e-05	8.32790180e-17	2.08923296e+00	2.08923296e+00	3.24120349e-16	1.57562313e-16	-1.05824423e-03	-1.19002990e-03
0.0285          	4.15054053e+00	4.74217538e-16	-2.23544545e-03	-2.08536535e-16	6.05153633e-05	8.28670205e-17	2.07527026e+00	2.07527026e+00	3.19975789e-16	1.54241749e-16	-1.05720736e-03	-1.17823809e-03
0.029           	4.12346230e+00	4.66981915e-16	-2.22673912e-03	-2.04875250e-16	5.53856723e-05	8.24667817e-17	2.06173115e+00	2.06173115e+00	3.15957739e-16	1.51024176e-16	-1.05798389e-03	-1.16875523e-03
0.0295          	4.09720607e+00	4.59958338e-16	-2.22045594e-03	-2.01324471e-16	5.04972938e-05	8.20756289e-17	2.04860304e+00	2.04860304e+00	3.12054798e-16	1.47903540e-16	-1.05973068e-03	-1.16072527e-03
0.03            	4.07174296e+00	4.53134807e-16	-2.21295164e-03	-1.97877278e-16	4.58369664e-05	8.16932600e-17	2.03587148e+00	2.03587148e+00	3.08260664e-16	1.44874144e-16	-1.06063885e-03	-1.15231279e-03
